execution_id;timestamp;repetition;dataset;experiment;data_structure;runtime;storage;
74;1599727167;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;csrMallocAL(0,0);709;;
74;1599727167;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;csrMallocAL(0,0);73354;;
75;1599727170;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;csrMallocAL(0,1);766;;
75;1599727170;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;csrMallocAL(0,1);75541;;
76;1599727170;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;csrMallocAL(32,0);636;;
76;1599727170;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;csrMallocAL(32,0);66539;;
77;1599727170;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;csrMallocAL(64,0);567;;
77;1599727170;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;csrMallocAL(64,0);64915;;
78;1599727171;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;csrMallocAL(128,0);573;;
78;1599727171;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;csrMallocAL(128,0);63767;;
79;1599727171;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;csrMallocAL(10000000,0);564;;
79;1599727171;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;csrMallocAL(10000000,0);63054;;
80;1599727173;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;csrMallocAL(10000000,1);605;;
80;1599727173;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;csrMallocAL(10000000,1);65164;;
81;1599727176;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;mallocAL(1);1383;;
81;1599727176;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;mallocAL(1);77752;;
82;1599727176;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;mallocAL(0);1258;;
82;1599727176;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;mallocAL(0);77717;;
83;1599727176;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;vectorAL(0);1319;;
83;1599727176;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;vectorAL(0);77759;;
84;1599727179;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;vectorAL(1);1341;;
84;1599727179;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;vectorAL(1);82158;;
85;1599727180;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;csr();2363;;
85;1599727180;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;csr();343968;;
86;1599727182;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;csrMallocAL(0,0);2585;;
86;1599727183;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;csrMallocAL(0,0);372590;;
87;1599727193;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;csrMallocAL(0,1);3284;;
87;1599727193;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;csrMallocAL(0,1);442882;;
88;1599727195;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;csrMallocAL(32,0);2589;;
88;1599727195;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;csrMallocAL(32,0);360801;;
89;1599727197;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;csrMallocAL(64,0);2616;;
89;1599727197;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;csrMallocAL(64,0);358134;;
90;1599727199;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;csrMallocAL(128,0);2581;;
90;1599727199;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;csrMallocAL(128,0);353216;;
91;1599727201;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;csrMallocAL(10000000,0);2588;;
91;1599727201;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;csrMallocAL(10000000,0);345940;;
92;1599727211;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;csrMallocAL(10000000,1);3360;;
92;1599727211;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;csrMallocAL(10000000,1);437275;;
93;1599727221;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;mallocAL(1);7458;;
93;1599727222;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;mallocAL(1);436718;;
94;1599727223;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;mallocAL(0);6092;;
