execution_id;timestamp;repetition;dataset;experiment;data_structure;runtime;storage;
131;1601305140;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;bllAL(248,0);3653815;;
131;1601305160;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;insert;bllAL(248,0);20367750;;
131;1601305164;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;bllAL(248,0);4135788;;
132;1601305190;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;bllAL(512,0);3720454;;
132;1601305205;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;insert;bllAL(512,0);15057750;;
132;1601305209;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;bllAL(512,0);4231331;;
133;1601305210;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;vectorAL(0);85802;;
133;1601305211;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;insert;vectorAL(0);208647;;
133;1601305211;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;vectorAL(0);98136;;
134;1601305211;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(32,0);76039;;
134;1601305211;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;insert;bllAL(32,0);342207;;
134;1601305211;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(32,0);85370;;
135;1601305212;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(64,0);78238;;
135;1601305212;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;insert;bllAL(64,0);322491;;
135;1601305212;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(64,0);84338;;
136;1601305212;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(128,0);79056;;
136;1601305213;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;insert;bllAL(128,0);324934;;
136;1601305213;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(128,0);84870;;
137;1601305213;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(248,0);80284;;
137;1601305213;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;insert;bllAL(248,0);333599;;
137;1601305214;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(248,0);83697;;
138;1601305214;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(512,0);82873;;
138;1601305215;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;insert;bllAL(512,0);354975;;
